Cut Color Clarity carat price (in dollars)
Ideal D VS2 1.25 10701
Ideal D VVS2 1.09 10942
VeryGood D VVS2 1.02 10933
Ideal D VS2 1.26 10971
Ideal D VVS2 1.01 11160
VeryGood D VVS2 1.03 11219
Good D VVS2 1 10817
Good D VVS1 1 11018
Ideal D VS1 1.37 11117
Ideal D VS1 1.25 11341
VeryGood D VS2 1.41 11370
Ideal D VVS2 1.03 11373
Ideal D VVS2 1.07 11402
Ideal D VS1 1.21 11411
Ideal D VVS2 1.03 11477
Ideal D VVS2 1.11 11522
Ideal D VVS2 1 11535
Ideal D VVS2 1.07 11556
Ideal D VS2 1.35 11569
Ideal D VVS2 1.01 11579
Ideal D VVS2 1.04 11580
Ideal D VVS2 1.05 11692
VeryGood D VVS1 1.02 11738
Ideal D VVS2 1.01 11742
Ideal D VVS2 1.03 11754
Ideal D VVS2 1.03 11779
VeryGood D VVS2 1.02 11805
Ideal D VVS2 1.07 11817
VeryGood D VVS2 1.11 11845
VeryGood D VVS1 1 11846
VeryGood D VS2 1.31 11853
Good D VVS1 1.01 11954
VeryGood D VVS2 1.06 11961
Ideal D VVS1 1 11967
Good E VS2 0.76 3241
Ideal E VS2 0.76 3272
VeryGood E VS2 0.76 3403
VeryGood E VS2 0.75 3427
VeryGood E VS2 0.75 3432
VeryGood E VS2 0.78 3436
Ideal E VS2 0.76 3438
Ideal E VS2 0.75 3473
Ideal E VS2 0.76 3540
Ideal E VS1 0.75 3542
Ideal E VS2 0.76 3543
Ideal E VS2 0.76 3543
VeryGood E VS2 0.78 3576
VeryGood E VS1 0.75 3591
VeryGood E VS1 0.75 3593
Good E VS1 0.77 3608
VeryGood E VS2 0.77 3613
Good E VS2 0.86 3631
Ideal E VS2 0.79 3632
VeryGood E VS2 0.76 3634
VeryGood E VS2 0.76 3634
VeryGood E VS2 0.76 3634
Good E VS1 0.79 3639
Ideal E VS2 0.79 3674
VeryGood E VS1 0.75 3676
Ideal E VS2 0.77 3680
VeryGood E VS2 0.78 3702
VeryGood E VS2 0.81 3702
VeryGood E VS2 0.75 3703
Ideal E VS2 0.79 3703
Ideal E VS2 0.79 3724
Ideal E VS2 0.81 3766
Ideal E VS1 0.77 3786
VeryGood E VS2 0.81 3788
VeryGood E VS2 0.8 3796
